familyId,domain,format,construct,contextFamily,variants,recommendedMinSetGap
EQ-S01,EQ,SITUATIONAL,empathy_after_criticism,school_team_feedback,10,10
EQ-S02,EQ,SITUATIONAL,emotional_self_regulation,conflict_under_pressure,10,10
EQ-S03,EQ,SITUATIONAL,resilience_after_failure,competition_selection,10,10
EQ-S04,EQ,SITUATIONAL,receiving_feedback,teacher_feedback,10,10
EQ-S05,EQ,SITUATIONAL,supporting_anxious_peer,performance_anxiety,10,10
EQ-S06,EQ,SITUATIONAL,managing_disappointment,changed_plan,10,10
EQ-S07,EQ,SITUATIONAL,perspective_taking,misunderstanding,10,10
EQ-S08,EQ,SITUATIONAL,confidence_without_arrogance,public_presentation,10,10
EQ-S09,EQ,SITUATIONAL,coping_with_embarrassment,public_mistake,10,10
EQ-S10,EQ,SITUATIONAL,patience_with_slow_peer,mixed_ability_group,10,10
EQ-S11,EQ,SITUATIONAL,recognising_own_bias,friendship_conflict,10,10
EQ-S12,EQ,SITUATIONAL,repairing_hurt_feelings,careless_comment,10,10
EQ-S13,EQ,SITUATIONAL,asking_for_help,overwhelming_task,10,10
EQ-S14,EQ,SITUATIONAL,responding_to_exclusion,peer_social_dynamics,10,10
EQ-S15,EQ,SITUATIONAL,handling_praise,success_recognition,10,10
EQ-S16,EQ,SITUATIONAL,managing_jealousy,peer_achievement,10,10
EQ-S17,EQ,SITUATIONAL,staying_calm_in_emergency,minor_school_incident,10,10
EQ-S18,EQ,SITUATIONAL,accepting_responsibility_emotionally,personal_error,10,10
EQ-S19,EQ,SITUATIONAL,delayed_gratification,study_vs_entertainment,10,10
EQ-S20,EQ,SITUATIONAL,recovering_after_conflict,friendship_repair,10,10
EQ-S21,EQ,SITUATIONAL,expressing_disagreement_respectfully,class_discussion,10,10
EQ-S22,EQ,SITUATIONAL,responding_to_rumour_about_self,social_media_rumour,10,10
EQ-S23,EQ,SITUATIONAL,empathy_for_family_member,home_responsibility,10,10
EQ-S24,EQ,SITUATIONAL,managing_fear_of_trying,new_activity,10,10
EQ-S25,EQ,SITUATIONAL,recognising_stress_signals,busy_schedule,10,10
EQ-S26,EQ,SITUATIONAL,accepting_uncertainty,waiting_for_result,10,10
EQ-S27,EQ,SITUATIONAL,balancing_ambition_and_rest,high_workload,10,10
EQ-S28,EQ,SITUATIONAL,responding_to_unfair_comment,sports_or_club,10,10
